Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
println(body_content),,,,2019-12-06 10:08:57,2019-12-06 10:08:57,0.000s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-12-06 10:08:57,2019-12-06 10:08:57,0.001s,PASSED
out.println(var_expected_rc),,,,2019-12-06 10:08:57,2019-12-06 10:08:57,0.000s,PASSED
out.println(rc_ref.getRCName()),,,,2019-12-06 10:08:57,2019-12-06 10:08:57,0.001s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2019-12-06 10:08:57,2019-12-06 10:08:57,0.000s,PASSED
"result = verifyEqual(response_code, rc_ref.getRCName())",,,,2019-12-06 10:08:57,2019-12-06 10:08:57,0.002s,PASSED
if (result == false),,,,2019-12-06 10:08:57,2019-12-06 10:08:57,0.000s,PASSED
else,,,,2019-12-06 10:08:57,2019-12-06 10:08:57,0.002s,PASSED
,,,,,,,
Test Cases/E_Wallet/TC_cancelQR/TC_cancelQR,,,,2019-12-06 10:08:57,2019-12-06 10:08:57,0.181s,PASSED
"plain = ""{"" + """"user_agent"":"""" + var_user_agent + """","" + """"unique_code"":"""" + var_unique_code + """"}""",,,,2019-12-06 10:08:57,2019-12-06 10:08:57,0.000s,PASSED
partner_token = partner_token,,,,2019-12-06 10:08:57,2019-12-06 10:08:57,0.001s,PASSED
